Field,RA,DEC,ZP_u,ZP_J0378,ZP_J0395,ZP_J0410,ZP_J0430,ZP_g,ZP_J0515,ZP_r,ZP_J0660,ZP_i,ZP_J0861,ZP_z
SPLUS-d254,111.27,-30.85,20.95,20.162,20.066,21.195,21.338,23.656,21.593,23.6,21.104,23.35,21.616,22.745
SPLUS-d255,112.91,-30.85,20.927,20.14,20.052,21.169,21.313,23.649,21.578,23.601,21.096,23.351,21.61,22.764
SPLUS-d256,114.55,-30.85,20.843,20.039,19.969,21.04,21.172,23.528,21.466,23.522,21.043,23.3,21.553,22.694
SPLUS-d257,116.18,-30.85,20.74,19.977,19.862,20.827,20.98,23.332,21.29,23.351,20.877,23.18,21.541,22.645
SPLUS-d258,117.82,-30.85,19.874,19.069,18.985,19.942,20.013,22.43,20.356,22.545,20.075,22.385,20.665,21.818
SPLUS-d259,119.45,-30.85,20.875,20.101,20.082,21.046,21.169,23.501,21.439,23.472,21.041,23.224,21.576,22.662
SPLUS-d260,121.09,-30.85,20.88,20.075,19.975,21.062,21.187,23.537,21.479,23.526,21.047,23.275,21.571,22.706
SPLUS-d261,122.73,-30.85,20.996,20.212,20.139,21.228,21.367,23.676,21.603,23.593,21.101,23.342,21.615,22.779
SPLUS-d262,124.36,-30.85,20.748,19.996,19.911,20.551,20.723,23.284,20.688,23.303,20.391,23.116,21.414,21.959
SPLUS-d263,126.0,-30.85,20.893,20.08,19.963,21.137,21.297,23.624,21.559,23.566,21.078,23.334,21.597,22.775
SPLUS-d264,127.64,-30.85,20.912,20.111,20.001,21.164,21.316,23.629,21.573,23.575,21.084,23.332,21.592,22.758
SPLUS-d266,104.52,-32.23,20.87,20.054,19.967,21.051,21.175,23.524,21.466,23.537,21.056,23.302,21.564,22.706
SPLUS-d267,106.18,-32.23,20.666,19.852,19.75,20.809,20.912,23.329,21.285,23.432,20.973,23.263,21.552,22.683
SPLUS-d270,111.15,-32.23,20.858,20.062,19.933,21.063,21.191,23.536,21.487,23.555,21.071,23.314,21.56,22.737
SPLUS-d271,112.81,-32.23,20.859,20.054,19.972,21.07,21.148,23.553,21.49,23.55,21.057,23.324,21.578,22.738
SPLUS-d273,116.13,-32.23,20.576,19.798,19.694,20.735,20.821,23.308,21.245,23.456,20.867,23.203,21.514,22.673
SPLUS-d274,117.79,-32.23,20.731,19.937,19.886,20.732,20.395,22.759,20.659,22.734,20.348,22.647,21.544,22.549
SPLUS-d276,121.1,-32.23,19.841,19.051,18.995,19.961,20.044,22.446,20.398,22.556,20.088,22.395,20.667,21.817
SPLUS-d278,124.43,-32.23,20.684,19.867,19.728,20.791,20.88,23.284,21.253,23.403,20.941,23.243,21.535,22.674
SPLUS-d279,126.08,-32.23,20.858,20.051,19.953,21.067,21.192,23.534,21.484,23.553,21.061,23.33,21.592,22.759
SPLUS-d280,127.74,-32.23,20.933,20.129,20.02,21.153,21.303,23.609,21.539,23.55,21.058,23.283,21.526,22.688
SPLUS-d282,104.79,-33.61,20.676,19.906,19.855,20.903,21.006,23.396,21.345,23.509,21.026,23.304,21.585,22.747
SPLUS-d283,106.48,-33.61,20.781,19.945,19.881,20.947,21.052,23.446,21.391,23.515,21.035,23.322,21.568,22.754
SPLUS-d288,114.93,-33.61,20.674,19.87,19.833,20.804,20.935,23.357,21.28,23.399,20.956,23.242,21.539,22.659
SPLUS-d294,125.07,-33.61,20.66,19.877,19.726,20.821,20.929,23.318,21.319,23.453,21.015,23.226,21.548,22.652
SPLUS-d295,126.76,-33.61,20.652,19.859,19.795,20.613,20.843,23.274,21.217,23.279,20.929,23.166,20.829,22.634
SPLUS-d297,104.57,-34.99,20.698,19.926,19.882,20.919,21.041,23.445,21.391,23.505,21.034,23.304,21.58,22.747
SPLUS-d298,106.29,-34.99,19.77,19.013,18.882,19.943,20.033,22.448,20.379,22.583,20.107,22.408,20.703,21.808
SPLUS-d304,116.57,-34.99,19.843,19.062,19.009,19.944,20.036,22.362,20.381,22.544,20.095,22.386,20.681,21.82
SPLUS-d306,120.0,-34.99,20.705,19.892,19.831,20.818,20.912,23.308,21.244,23.389,20.926,23.228,21.519,22.645
SPLUS-d308,123.43,-34.99,19.815,19.032,18.862,19.938,19.998,22.402,20.377,22.562,20.113,22.396,20.641,21.772
SPLUS-d309,125.14,-34.99,20.699,19.894,19.77,20.817,20.915,23.321,21.282,23.421,20.961,23.256,21.549,22.684
SPLUS-d310,126.86,-34.99,20.818,20.01,19.915,21.016,21.142,23.507,21.437,23.531,21.029,23.302,21.571,22.695
SPLUS-d313,104.35,-36.36,20.94,20.165,20.128,21.129,21.244,23.576,21.515,23.568,21.086,23.367,21.603,22.782
SPLUS-d321,118.26,-36.36,20.613,19.798,19.754,20.759,20.886,23.292,21.235,23.375,20.912,23.207,21.53,22.613
SPLUS-d324,123.48,-36.36,19.753,18.979,18.862,19.9,19.982,22.411,20.367,22.566,20.08,22.348,20.635,21.743
SPLUS-d325,125.22,-36.36,19.893,19.081,18.968,19.986,20.069,22.451,20.403,22.57,20.113,22.405,20.682,21.819
SPLUS-d326,126.96,-36.36,20.871,20.07,20.016,21.04,21.17,23.52,21.463,23.531,21.049,23.303,21.595,22.743
SPLUS-d328,130.43,-36.36,20.866,20.058,19.999,21.08,21.227,23.561,21.49,23.517,21.025,23.299,21.566,22.734
SPLUS-d329,132.18,-36.36,20.818,20.044,19.966,20.993,21.104,23.455,21.383,23.481,21.01,23.237,21.529,22.639
SPLUS-d330,104.63,-37.74,20.905,20.118,20.128,20.556,20.468,22.767,21.06,23.181,20.688,22.878,20.607,21.776
SPLUS-d331,106.4,-37.74,19.755,18.992,18.935,19.918,20.019,22.437,20.388,22.59,20.135,22.428,20.714,21.873
SPLUS-d336,115.27,-37.74,19.915,19.173,19.057,19.984,20.04,22.381,20.364,22.523,20.06,22.366,20.672,21.796
SPLUS-d343,127.68,-37.74,20.77,19.954,19.942,20.902,21.018,23.403,21.342,23.468,20.986,23.279,21.561,22.714
SPLUS-d344,129.46,-37.74,20.846,20.037,20.001,21.026,21.159,23.512,21.448,23.529,21.038,23.307,21.577,22.744
SPLUS-d345,131.23,-37.74,20.793,19.983,19.961,20.953,21.087,23.452,21.382,23.482,21.004,23.265,21.542,22.698
SPLUS-d346,133.0,-37.74,20.892,20.085,20.048,21.076,21.199,23.553,21.492,23.563,21.067,23.334,21.609,22.761
SPLUS-d347,106.73,-39.11,19.803,19.031,18.967,19.976,20.051,22.492,20.418,22.606,20.14,22.44,20.712,21.873
SPLUS-d356,123.02,-39.11,20.7,19.899,19.817,20.808,20.915,23.283,21.242,23.383,20.899,23.23,21.525,22.659
SPLUS-d358,126.63,-39.11,20.81,19.998,19.868,20.902,21.007,23.366,21.306,23.442,20.978,23.269,21.509,22.666
SPLUS-d360,130.25,-39.11,20.857,20.033,20.038,21.015,21.149,23.494,21.431,23.515,21.02,23.289,21.576,22.683
SPLUS-d361,132.06,-39.11,20.868,20.04,20.018,21.034,21.145,23.543,21.446,23.496,21.079,23.353,21.614,22.759
SPLUS-d362,133.87,-39.11,20.558,19.766,19.657,20.908,21.07,23.449,21.419,23.474,21.029,22.068,21.537,22.724
SPLUS-d375,129.23,-40.48,20.938,20.095,19.997,21.093,21.191,23.534,21.496,23.522,21.053,23.347,21.595,22.273
SPLUS-d376,131.08,-40.48,20.839,20.037,20.038,21.046,21.172,23.507,21.446,23.536,21.04,23.295,21.597,22.713
SPLUS-d377,132.93,-40.48,20.838,20.004,20.012,21.066,21.201,23.549,21.477,23.557,21.055,23.33,21.596,22.756
SPLUS-d386,120.63,-41.84,20.516,19.715,19.648,20.688,20.812,23.233,21.201,23.369,20.905,23.224,21.517,22.654
SPLUS-d390,128.17,-41.84,20.793,20.001,19.954,20.909,21.056,23.421,21.352,23.455,20.983,23.276,21.547,22.712
SPLUS-d391,130.05,-41.84,20.668,19.834,19.792,20.742,20.832,23.238,21.185,23.378,20.91,23.23,21.536,22.662
SPLUS-d392,131.94,-41.84,20.339,19.598,19.691,20.574,20.728,23.467,21.4,23.521,21.053,23.249,21.495,22.666
SPLUS-d393,133.82,-41.84,20.824,19.987,20.002,21.071,21.229,23.569,21.498,23.531,21.042,23.313,21.581,22.764
SPLUS-d406,130.91,-43.21,20.757,19.926,19.89,20.899,21.02,23.39,21.341,23.479,20.985,23.239,21.551,22.705
SPLUS-d407,132.83,-43.21,20.762,19.95,19.927,20.944,21.073,23.415,21.352,23.469,20.995,23.264,21.545,22.675
SPLUS-d420,131.8,-44.57,20.84,20.007,19.877,21.006,21.171,23.522,21.448,23.482,21.034,23.275,21.571,22.726
SPLUS-d421,133.77,-44.57,20.774,19.949,19.943,21.011,21.154,23.509,21.441,23.523,21.038,23.309,21.584,22.722
SPLUS-d433,132.74,-45.93,20.756,19.941,19.862,20.935,21.052,23.409,21.346,23.47,20.995,23.255,21.539,22.652
SPLUS-d434,134.75,-45.93,20.83,20.009,19.994,21.028,21.157,23.517,21.438,23.554,21.073,23.36,21.619,22.818
SPLUS-d435,111.09,-47.28,20.83,20.053,20.009,21.013,21.124,23.446,21.382,23.486,21.016,23.28,21.567,22.694
SPLUS-d443,127.54,-47.28,20.586,19.785,19.58,20.702,20.766,23.212,21.138,23.344,20.89,23.21,21.485,22.577
SPLUS-d445,131.66,-47.28,20.763,19.95,19.841,20.92,21.061,23.436,21.393,23.477,20.981,23.223,21.532,22.707
SPLUS-d446,133.71,-47.28,20.826,20.007,19.964,20.982,21.107,23.461,21.395,23.479,21.01,23.258,21.47,22.69
SPLUS-d452,122.83,-48.63,20.63,19.826,19.741,20.813,20.942,23.346,21.306,23.431,20.968,23.257,21.542,22.689
SPLUS-d455,129.18,-48.63,20.609,19.804,19.78,20.762,20.878,23.301,21.236,23.384,20.928,23.205,21.485,22.614
