Field,RA,DEC,ZP_u,ZP_J0378,ZP_J0395,ZP_J0410,ZP_J0430,ZP_g,ZP_J0515,ZP_r,ZP_J0660,ZP_i,ZP_J0861,ZP_z
SPLUS-n05n55,223.64,5.43,20.718,19.922,19.932,20.928,21.069,23.461,21.421,23.509,21.041,23.349,21.61,22.825
SPLUS-n05s01,150.0,-5.43,20.815,20.007,20.008,21.017,21.145,23.48,21.408,23.498,21.019,23.297,21.567,22.738
SPLUS-n05s02,151.36,-5.43,20.716,19.959,19.981,20.995,21.131,23.482,21.423,23.515,21.037,23.316,21.597,22.729
SPLUS-n05s03,152.73,-5.43,20.823,20.031,20.049,21.046,21.166,23.518,21.455,23.534,21.058,23.333,21.608,22.767
SPLUS-n05s43,207.27,-5.43,20.75,19.938,19.775,20.75,20.735,23.321,21.083,23.347,20.985,23.21,21.6,22.664
SPLUS-n05s44,208.64,-5.43,20.754,19.97,19.936,20.964,21.097,23.454,21.412,23.502,21.021,23.316,21.592,22.741
SPLUS-n05s45,210.0,-5.43,20.947,20.121,20.106,21.155,21.282,23.623,21.57,23.589,21.106,23.379,21.641,22.81
SPLUS-n06s01,150.0,-6.78,20.747,19.995,20.023,21.026,21.157,23.513,21.451,23.538,21.059,23.333,21.608,22.763
SPLUS-n06s02,151.36,-6.78,20.684,19.934,19.914,20.939,21.061,23.409,21.342,23.481,21.032,23.303,21.584,22.741
SPLUS-n06s03,152.73,-6.78,20.801,20.006,20.005,21.002,21.124,23.471,21.411,23.489,21.003,23.297,21.564,22.727
SPLUS-n06s40,203.18,-6.78,20.761,19.945,19.933,20.934,21.052,23.443,21.404,23.526,21.044,23.353,21.615,22.8
SPLUS-n06s41,204.55,-6.78,20.76,19.928,19.923,20.943,21.065,23.439,21.395,23.484,20.983,23.308,21.481,22.776
SPLUS-n06s42,205.91,-6.78,20.812,20.005,20.0,20.995,21.122,23.494,21.44,23.525,21.04,23.33,21.608,22.764
SPLUS-n06s43,207.27,-6.78,20.79,19.967,19.953,20.97,21.095,23.478,21.43,23.52,21.043,23.32,21.603,22.757
SPLUS-n06s44,208.64,-6.78,20.726,19.932,19.925,20.921,21.029,23.399,21.346,23.478,21.004,23.307,21.591,22.724
SPLUS-n06s45,210.0,-6.78,20.753,19.974,19.952,20.963,21.095,23.466,21.421,23.524,21.037,23.35,21.628,22.814
SPLUS-n07s01,150.57,-8.14,20.718,19.971,19.986,20.996,21.139,23.473,21.404,23.488,21.031,23.291,21.561,22.724
SPLUS-n07s02,151.94,-8.14,20.708,19.936,19.975,20.98,21.116,23.485,21.42,23.506,21.034,23.307,21.584,22.721
SPLUS-n07s03,153.31,-8.14,20.855,20.059,20.079,21.056,21.184,23.525,21.452,23.527,21.039,23.313,21.581,22.747
SPLUS-n07s04,154.68,-8.14,19.805,19.023,19.013,19.979,20.068,22.471,20.422,22.597,20.142,22.46,20.726,21.913
SPLUS-n07s38,201.22,-8.14,20.818,19.983,19.964,20.958,21.05,23.453,21.391,23.532,21.043,23.362,21.614,22.818
SPLUS-n07s39,202.59,-8.14,20.811,19.998,19.988,21.006,21.126,23.508,21.447,23.542,21.054,23.354,21.611,22.813
SPLUS-n07s40,203.95,-8.14,20.752,19.969,19.983,21.038,21.152,23.523,21.464,23.541,21.056,23.334,21.616,22.774
SPLUS-n07s41,205.33,-8.14,20.823,19.998,19.992,21.005,21.129,23.498,21.45,23.541,21.053,23.343,21.616,22.778
SPLUS-n07s42,206.69,-8.14,20.855,20.032,20.033,21.043,21.166,23.52,21.463,23.549,21.061,23.341,21.61,22.77
SPLUS-n07s43,208.06,-8.14,20.806,20.013,19.998,21.013,21.136,23.499,21.448,23.542,21.062,23.351,21.625,22.785
SPLUS-n07s44,209.43,-8.14,20.617,19.821,19.785,20.777,20.875,23.233,21.18,23.372,20.906,23.245,21.527,22.668
SPLUS-n08s01,151.15,-9.49,20.61,19.881,19.906,20.915,21.047,23.409,21.346,23.472,21.002,23.276,21.572,22.687
SPLUS-n08s02,152.52,-9.49,20.786,20.005,20.009,21.004,21.131,23.46,21.395,23.494,21.01,23.271,21.548,22.702
SPLUS-n08s03,153.89,-9.49,20.537,19.967,19.989,20.947,21.04,23.379,21.322,23.462,21.004,23.287,21.578,22.694
SPLUS-n08s04,155.27,-9.49,19.766,19.019,18.994,19.977,20.069,22.465,20.411,22.589,20.132,22.451,20.718,21.907
SPLUS-n08s37,200.61,-9.49,20.833,20.033,20.003,20.996,21.104,23.485,21.443,23.524,21.042,23.359,21.622,22.793
SPLUS-n08s38,201.98,-9.49,20.402,19.581,19.547,20.515,20.626,23.021,20.956,23.083,20.63,22.919,21.054,22.381
SPLUS-n08s39,203.36,-9.49,20.839,20.026,19.996,21.021,21.135,23.5,21.444,23.529,21.048,23.338,21.603,22.776
SPLUS-n08s40,204.73,-9.49,20.747,19.948,19.93,20.947,21.077,23.46,21.418,23.521,21.041,23.343,21.613,22.792
SPLUS-n08s41,206.11,-9.49,20.648,19.859,19.847,20.858,20.996,23.379,21.342,23.446,20.962,23.254,21.607,22.658
SPLUS-n08s42,207.48,-9.49,20.82,20.011,20.014,21.012,21.134,23.493,21.439,23.515,21.023,23.316,21.587,22.739
SPLUS-n08s43,208.85,-9.49,20.684,19.883,19.873,20.859,21.24,23.567,21.502,23.528,21.036,23.32,21.587,22.749
SPLUS-n09s01,150.35,-10.84,20.655,19.897,19.902,20.885,21.009,23.391,21.339,23.46,20.995,23.286,21.581,22.704
SPLUS-n09s02,151.73,-10.84,20.626,19.841,19.848,20.856,20.979,23.363,21.315,23.432,20.965,23.263,21.537,22.683
SPLUS-n09s03,153.1,-10.84,20.632,19.878,19.906,20.876,21.0,23.388,21.338,23.459,20.983,23.28,21.557,22.723
SPLUS-n09s04,154.48,-10.84,19.695,18.938,18.945,19.915,20.013,22.417,20.369,22.552,20.096,22.389,20.679,21.79
SPLUS-n09s05,155.86,-10.84,19.779,19.02,19.015,19.981,20.072,22.473,20.419,22.59,20.131,22.46,20.723,21.906
SPLUS-n09s36,198.62,-10.84,20.795,19.966,19.92,20.972,21.1,23.471,21.413,23.532,21.046,23.343,21.608,22.785
SPLUS-n09s37,200.0,-10.84,20.823,20.016,20.02,21.022,21.149,23.513,21.455,23.557,21.072,23.371,21.629,22.837
SPLUS-n09s38,201.38,-10.84,20.793,19.979,19.981,21.003,21.123,23.456,21.436,23.519,21.016,23.308,21.542,22.762
SPLUS-n09s39,202.76,-10.84,20.819,19.994,19.986,21.011,21.139,23.509,21.452,23.534,21.053,23.339,21.609,22.772
SPLUS-n09s40,204.14,-10.84,20.844,20.028,19.995,21.012,21.138,23.502,21.45,23.546,21.056,23.352,21.619,22.799
SPLUS-n09s41,205.52,-10.84,20.799,19.996,19.998,20.99,21.129,23.457,21.404,23.498,21.015,23.302,21.576,22.727
SPLUS-n09s42,206.9,-10.84,20.801,19.967,19.955,20.976,21.097,23.46,21.408,23.495,21.011,23.288,21.573,22.696
SPLUS-n09s43,208.28,-10.84,20.827,20.026,20.018,21.047,21.189,23.522,21.459,23.488,21.006,23.272,21.557,22.675
SPLUS-n09s44,209.65,-10.84,20.819,20.004,20.011,21.075,21.236,23.578,21.522,23.553,21.068,23.36,21.631,22.778
SPLUS-n10s01,150.93,-12.18,20.618,19.855,19.858,20.853,20.977,23.36,21.313,23.425,20.959,23.26,21.553,22.674
SPLUS-n10s02,152.31,-12.18,20.579,19.826,19.821,20.844,20.971,23.358,21.307,23.421,20.965,23.265,21.556,22.681
SPLUS-n10s03,153.69,-12.18,20.607,19.84,19.865,20.858,20.984,23.371,21.316,23.424,20.954,23.26,21.541,22.697
SPLUS-n10s04,155.08,-12.18,19.68,18.916,18.925,19.9,19.997,22.422,20.373,22.557,20.097,22.407,20.688,21.828
SPLUS-n10s05,156.46,-12.18,19.662,18.923,18.923,19.886,19.97,22.384,20.335,22.539,20.085,22.403,20.689,21.818
SPLUS-n10s06,157.85,-12.18,19.636,18.885,18.901,19.867,19.957,22.388,20.338,22.542,20.098,22.412,20.698,21.852
SPLUS-n10s17,173.08,-12.18,20.669,19.884,19.925,20.935,21.054,23.415,21.35,23.481,21.004,23.296,21.583,22.714
SPLUS-n10s34,196.62,-12.18,20.832,20.022,20.013,21.031,21.158,23.519,21.458,23.537,21.049,23.349,21.614,22.818
SPLUS-n10s35,198.0,-12.18,20.831,20.024,20.007,21.017,21.138,23.501,21.448,23.535,21.046,23.345,21.606,22.794
SPLUS-n10s36,199.38,-12.18,20.756,19.891,19.945,20.988,21.124,23.504,21.439,23.525,21.04,23.327,21.46,22.749
SPLUS-n10s37,200.77,-12.18,20.716,19.937,19.963,20.947,21.089,23.461,21.416,23.49,20.981,23.29,21.522,22.702
SPLUS-n10s38,202.15,-12.18,20.826,20.017,20.026,21.024,21.154,23.521,21.47,23.554,21.064,23.351,21.626,22.791
SPLUS-n10s39,203.54,-12.18,20.731,19.95,19.909,20.9,21.025,23.396,21.345,23.458,20.972,23.27,21.552,22.699
SPLUS-n10s40,204.93,-12.18,20.829,20.028,20.031,21.037,21.17,23.519,21.46,23.521,21.031,23.303,21.582,22.721
SPLUS-n10s41,206.31,-12.18,20.721,19.897,19.858,20.869,20.964,23.326,21.264,23.431,20.966,23.27,21.559,22.684
SPLUS-n10s42,207.69,-12.18,20.925,20.108,20.097,21.134,21.285,23.62,21.553,23.568,21.087,23.361,21.619,22.79
SPLUS-n10s43,209.08,-12.18,20.904,20.1,20.083,21.138,21.291,23.612,21.541,23.553,21.063,23.336,21.601,22.771
SPLUS-n11s01,150.12,-13.53,20.53,19.778,19.773,20.751,20.86,23.237,21.197,23.386,20.936,23.232,21.536,22.629
SPLUS-n11s02,151.5,-13.53,20.394,19.61,19.588,20.584,20.689,23.076,21.051,23.26,20.829,23.131,21.457,22.55
SPLUS-n11s03,152.9,-13.53,20.749,19.969,19.987,20.994,21.137,23.468,21.397,23.489,21.005,23.265,21.549,22.677
SPLUS-n11s04,154.29,-13.53,20.588,19.817,19.814,20.819,20.938,23.328,21.276,23.408,20.951,23.236,21.526,22.643
SPLUS-n11s05,155.68,-13.53,20.621,19.86,19.87,20.851,20.972,23.357,21.311,23.439,20.979,23.267,21.547,22.676
SPLUS-n11s06,157.07,-13.53,20.649,19.825,19.833,20.855,20.961,23.341,21.304,23.429,20.958,23.274,21.555,22.713
SPLUS-n11s07,158.45,-13.53,20.663,19.871,19.879,20.864,20.977,23.362,21.315,23.428,20.964,23.259,21.548,22.667
SPLUS-n11s08,159.85,-13.53,20.663,19.889,19.908,20.862,20.993,23.368,21.314,23.426,20.96,23.245,21.548,22.661
SPLUS-n11s09,161.24,-13.53,20.7,19.898,19.894,20.879,20.993,23.372,21.319,23.431,20.964,23.266,21.544,22.692
SPLUS-n11s10,162.63,-13.53,20.665,19.875,19.897,20.869,20.981,23.371,21.312,23.444,20.983,23.282,21.575,22.715
SPLUS-n11s11,164.02,-13.53,20.701,19.906,19.905,20.885,20.998,23.377,21.317,23.433,20.964,23.269,21.551,22.708
SPLUS-n11s12,165.4,-13.53,20.634,19.859,19.886,20.88,21.057,23.386,21.329,23.45,20.984,23.28,21.563,22.713
SPLUS-n11s26,184.87,-13.53,20.779,20.004,20.006,21.022,21.152,23.501,21.449,23.533,21.058,23.34,21.612,22.785
SPLUS-n11s28,187.65,-13.53,20.754,19.954,19.968,20.972,21.102,23.457,21.405,23.49,21.012,23.296,21.578,22.704
SPLUS-n11s29,189.03,-13.53,20.853,20.045,20.027,21.04,21.167,23.521,21.459,23.538,21.051,23.339,21.607,22.784
SPLUS-n11s30,190.43,-13.53,20.791,20.007,19.996,21.027,21.151,23.508,21.453,23.547,21.055,23.342,21.614,22.77
SPLUS-n11s31,191.82,-13.53,19.35,18.534,18.531,19.538,19.668,22.105,20.03,22.18,19.858,22.033,20.492,21.497
SPLUS-n11s32,193.2,-13.53,20.766,19.965,19.931,20.926,21.031,23.411,21.35,23.461,20.996,23.293,21.577,22.731
SPLUS-n11s33,194.6,-13.53,20.835,20.027,20.003,20.989,21.093,23.472,21.415,23.534,21.045,23.337,21.606,22.767
SPLUS-n11s34,195.98,-13.53,20.843,20.005,19.994,21.003,21.119,23.488,21.43,23.525,21.038,23.333,21.605,22.77
SPLUS-n11s35,197.38,-13.53,20.859,20.037,20.006,21.007,21.124,23.492,21.439,23.545,21.058,23.367,21.626,22.821
SPLUS-n11s36,198.76,-13.53,20.705,19.885,19.861,20.859,20.958,23.349,21.298,23.43,20.97,23.272,21.554,22.705
SPLUS-n11s37,200.15,-13.53,20.815,20.003,20.023,21.027,21.157,23.508,21.462,23.521,21.061,23.313,21.613,22.78
SPLUS-n11s38,201.55,-13.53,20.763,19.948,19.956,20.935,21.043,23.402,21.352,23.484,21.009,23.292,21.583,22.729
SPLUS-n11s39,202.93,-13.53,20.656,19.859,19.886,20.909,21.051,23.44,21.412,23.52,21.033,23.324,21.61,22.761
SPLUS-n11s40,204.33,-13.53,20.882,20.057,20.055,21.095,21.243,23.566,21.504,23.525,21.043,23.308,21.576,22.76
SPLUS-n11s41,205.71,-13.53,20.937,20.114,20.089,21.157,21.3,23.62,21.562,23.567,21.086,23.353,21.614,22.787
SPLUS-n11s42,207.1,-13.53,20.926,20.107,20.092,21.165,21.315,23.633,21.565,23.577,21.091,23.368,21.632,22.816
SPLUS-n11s43,208.5,-13.53,20.928,20.11,20.107,21.158,21.305,23.637,21.575,23.584,21.089,23.37,21.638,22.786
SPLUS-n11s44,209.88,-13.53,20.941,20.108,20.105,21.167,21.314,23.635,21.555,23.576,21.075,23.361,21.625,22.814
SPLUS-n12s01,151.28,-14.88,20.45,19.688,19.694,20.682,20.773,23.153,21.118,23.294,20.837,23.178,21.481,22.613
SPLUS-n12s02,152.68,-14.88,20.609,19.846,19.851,20.819,20.935,23.332,21.288,23.421,20.967,23.252,21.556,22.669
SPLUS-n12s03,154.09,-14.88,20.632,19.859,19.862,20.858,20.983,23.371,21.324,23.446,20.985,23.269,21.558,22.686
SPLUS-n12s04,155.49,-14.88,20.639,19.867,19.888,20.858,20.995,23.37,21.326,23.426,20.968,23.255,21.542,22.679
SPLUS-n12s05,156.89,-14.88,20.686,19.909,19.915,20.875,20.984,23.365,21.314,23.446,20.982,23.278,21.559,22.702
SPLUS-n12s06,158.29,-14.88,19.623,18.823,18.857,19.84,19.967,22.393,20.324,22.476,20.091,22.322,20.739,21.772
SPLUS-n12s07,159.69,-14.88,20.693,19.916,19.93,20.904,21.034,23.408,21.359,23.457,20.982,23.284,21.557,22.718
SPLUS-n12s08,161.09,-14.88,20.634,19.858,19.873,20.875,21.0,23.39,21.337,23.438,20.97,23.272,21.547,22.684
SPLUS-n12s09,162.49,-14.88,20.699,19.878,19.88,20.886,21.003,23.362,21.312,23.421,20.962,23.26,21.55,22.69
SPLUS-n12s10,163.89,-14.88,20.609,19.825,19.836,20.825,20.931,23.31,21.277,23.405,20.939,23.252,21.539,22.679
SPLUS-n12s11,165.29,-14.88,20.645,19.864,19.883,20.869,20.986,23.375,21.315,23.44,20.981,23.274,21.562,22.712
SPLUS-n12s12,166.69,-14.88,20.731,19.918,19.929,20.908,21.017,23.4,21.339,23.449,20.98,23.28,21.553,22.731
SPLUS-n12s23,182.1,-14.88,20.816,20.016,20.001,21.01,21.134,23.491,21.433,23.523,21.042,23.326,21.603,22.753
SPLUS-n12s24,183.5,-14.88,20.799,20.0,19.968,20.98,21.114,23.477,21.422,23.516,21.035,23.324,21.599,22.749
SPLUS-n12s25,184.9,-14.88,20.844,20.026,19.947,21.033,21.156,23.513,21.457,23.55,21.063,23.349,21.623,22.79
SPLUS-n12s26,186.3,-14.88,20.937,20.087,20.056,21.064,21.182,23.547,21.48,23.571,21.085,23.373,21.633,22.813
SPLUS-n12s27,187.7,-14.88,20.753,19.964,19.982,20.973,21.105,23.454,21.4,23.493,21.011,23.31,21.589,22.74
SPLUS-n12s28,189.1,-14.88,20.613,19.842,19.834,20.843,20.987,23.367,21.335,23.429,21.042,23.249,21.602,22.661
SPLUS-n12s29,190.5,-14.88,20.815,20.013,20.026,21.025,21.135,23.502,21.419,23.513,21.03,23.31,21.589,22.738
SPLUS-n12s30,191.91,-14.88,20.805,19.991,19.986,21.0,21.125,23.479,21.417,23.498,21.008,23.294,21.58,22.7
SPLUS-n12s31,193.31,-14.88,20.963,20.143,20.135,21.183,21.329,23.646,21.563,23.578,21.084,23.362,21.611,22.808
SPLUS-n12s32,194.71,-14.88,20.953,20.131,20.136,21.174,21.303,23.629,21.569,23.579,21.097,23.363,21.638,22.797
SPLUS-n12s33,196.11,-14.88,20.927,20.127,20.106,21.162,21.319,23.627,21.546,23.557,21.073,23.338,21.604,22.774
SPLUS-n12s34,197.51,-14.88,20.791,20.001,19.97,21.024,21.184,23.521,21.458,23.486,21.001,23.271,21.552,22.668
SPLUS-n12s35,198.91,-14.88,20.807,19.969,20.009,20.952,20.949,23.503,21.424,23.503,20.956,23.23,21.54,22.665
SPLUS-n12s36,200.31,-14.88,20.896,20.082,20.055,21.128,21.269,23.595,21.527,23.533,21.038,23.32,21.438,22.774
SPLUS-n12s37,201.71,-14.88,20.856,20.039,20.048,21.067,21.192,23.538,21.477,23.556,21.07,23.354,21.624,22.779
SPLUS-n12s38,203.11,-14.88,20.841,20.042,20.061,21.055,21.179,23.517,21.457,23.534,21.053,23.332,21.606,22.762
SPLUS-n12s39,204.51,-14.88,20.771,19.981,19.971,20.98,21.122,23.476,21.43,23.503,21.017,23.308,21.586,22.727
SPLUS-n12s40,205.91,-14.88,20.895,20.089,20.086,21.119,21.263,23.583,21.511,23.528,21.034,23.312,21.573,22.733
SPLUS-n12s41,207.32,-14.88,20.941,20.141,20.122,21.175,21.327,23.65,21.574,23.593,21.098,23.375,21.625,22.826
SPLUS-n12s42,208.72,-14.88,20.872,20.071,20.054,21.113,21.25,23.574,21.506,23.519,21.042,23.295,21.575,22.706
SPLUS-n13s01,150.47,-16.22,20.74,19.807,19.957,20.948,21.066,23.435,21.385,23.489,21.019,23.294,21.576,22.578
SPLUS-n13s02,151.88,-16.22,20.626,19.851,19.846,20.828,20.917,23.299,21.26,23.415,20.966,23.25,21.545,22.644
SPLUS-n13s03,153.28,-16.22,20.674,19.926,19.924,20.903,21.013,23.391,21.331,23.467,21.0,23.287,21.573,22.713
SPLUS-n13s04,154.69,-16.22,20.634,19.871,19.88,20.859,20.959,23.344,21.285,23.445,20.983,23.283,21.578,22.736
SPLUS-n13s05,156.1,-16.22,20.485,19.728,19.749,20.711,20.816,23.231,21.185,23.343,20.898,23.186,21.507,22.59
SPLUS-n13s06,157.5,-16.22,20.37,19.61,19.605,20.569,20.641,23.045,21.017,23.249,20.818,23.15,21.476,22.577
SPLUS-n13s07,158.91,-16.22,20.503,19.739,19.754,20.723,20.826,23.225,21.178,23.354,20.904,23.208,21.516,22.627
SPLUS-n13s08,160.31,-16.22,20.654,19.887,19.9,20.88,20.996,23.381,21.333,23.439,20.969,23.279,21.553,22.715
SPLUS-n13s09,161.72,-16.22,20.665,19.88,19.891,20.888,21.004,23.38,21.34,23.442,20.985,23.269,21.553,22.675
SPLUS-n13s10,163.13,-16.22,20.628,19.853,19.867,20.859,20.99,23.37,21.317,23.429,20.938,23.264,21.544,22.682
SPLUS-n13s11,164.53,-16.22,20.679,19.892,19.885,20.866,20.984,23.355,21.306,23.419,20.955,23.25,21.539,22.659
SPLUS-n13s12,165.94,-16.22,20.721,19.91,19.897,20.877,20.987,23.37,21.315,23.436,20.967,23.263,21.547,22.685
SPLUS-n13s13,167.35,-16.22,20.71,19.918,19.91,20.903,21.029,23.403,21.341,23.445,20.976,23.273,21.548,22.717
SPLUS-n13s14,168.75,-16.22,20.704,19.917,19.928,20.89,21.001,23.374,21.319,23.427,20.962,23.251,21.541,22.655
SPLUS-n13s15,170.16,-16.22,20.711,19.901,19.912,20.88,20.987,23.369,21.313,23.436,20.968,23.273,21.558,22.709
SPLUS-n13s19,175.78,-16.22,20.737,19.913,19.901,20.908,21.027,23.4,21.342,23.45,20.979,23.279,21.554,22.728
SPLUS-n13s21,178.6,-16.22,20.733,19.929,19.907,20.887,21.006,23.377,21.32,23.433,20.967,23.271,21.546,22.699
SPLUS-n13s22,180.0,-16.22,20.72,19.919,19.871,20.86,20.969,23.345,21.292,23.414,20.954,23.249,21.538,22.658
SPLUS-n13s23,181.41,-16.22,20.703,19.908,19.88,20.873,20.989,23.367,21.315,23.427,20.959,23.264,21.545,22.69
SPLUS-n13s24,182.81,-16.22,20.681,19.884,19.887,20.899,20.993,23.372,21.319,23.422,20.956,23.279,21.544,22.722
SPLUS-n13s25,184.22,-16.22,20.737,19.913,19.899,20.905,21.025,23.404,21.346,23.447,20.978,23.272,21.544,22.704
SPLUS-n13s28,188.44,-16.22,20.734,19.937,19.944,20.908,21.011,23.395,21.329,23.446,20.978,23.282,21.565,22.72
SPLUS-n13s29,189.85,-16.22,20.704,19.907,19.894,20.873,20.982,23.35,21.303,23.43,20.965,23.27,21.558,22.708
SPLUS-n13s30,191.25,-16.22,20.682,19.875,19.869,20.844,20.949,23.334,21.282,23.408,20.947,23.248,21.541,22.661
SPLUS-n13s31,192.66,-16.22,20.642,19.88,19.863,20.871,20.981,23.369,21.32,23.437,20.976,23.274,21.56,22.697
SPLUS-n13s32,194.06,-16.22,20.731,19.935,19.896,20.891,21.005,23.38,21.333,23.453,20.993,23.283,21.57,22.708
SPLUS-n13s33,195.47,-16.22,20.744,19.941,19.93,20.908,21.028,23.408,21.36,23.459,20.985,23.278,21.559,22.702
SPLUS-n13s35,198.28,-16.22,20.692,19.876,19.826,20.836,20.947,23.33,21.275,23.426,20.969,23.269,21.554,22.722
SPLUS-n13s36,199.69,-16.22,20.709,19.911,19.88,20.863,20.968,23.352,21.301,23.417,20.957,23.238,21.54,22.647
SPLUS-n13s37,201.1,-16.22,20.733,19.919,19.891,20.897,21.026,23.401,21.349,23.456,20.976,23.283,21.552,22.724
SPLUS-n13s39,203.91,-16.22,20.702,19.897,19.886,20.892,21.011,23.385,21.327,23.431,20.963,23.272,21.544,22.695
SPLUS-n13s40,205.31,-16.22,20.695,19.892,19.869,20.872,20.981,23.363,21.308,23.427,20.964,23.262,21.535,22.684
SPLUS-n13s41,206.72,-16.22,20.68,19.857,19.83,20.843,20.956,23.339,21.281,23.416,20.957,23.258,21.543,22.681
SPLUS-n13s42,208.13,-16.22,20.721,19.913,19.878,20.879,20.983,23.378,21.314,23.438,20.973,23.274,21.553,22.728
SPLUS-n14s01,150.24,-17.56,20.73,19.954,19.988,20.985,21.114,23.48,21.416,23.503,21.042,23.302,21.59,22.71
SPLUS-n14s02,151.65,-17.56,20.828,20.055,20.051,21.071,21.193,23.535,21.486,23.534,21.066,23.323,21.597,22.736
SPLUS-n14s03,153.07,-17.56,20.787,20.006,19.99,20.985,21.106,23.517,21.455,23.525,21.043,23.329,21.611,22.756
SPLUS-n14s04,154.49,-17.56,20.716,19.954,19.946,20.91,21.015,23.393,21.338,23.466,21.0,23.283,21.553,22.702
SPLUS-n14s05,155.9,-17.56,20.662,19.88,19.898,20.861,20.963,23.361,21.306,23.446,20.977,23.27,21.56,22.674
SPLUS-n14s06,157.32,-17.56,20.706,19.932,19.935,20.921,21.028,23.409,21.352,23.481,21.016,23.296,21.578,22.713
SPLUS-n14s07,158.74,-17.56,20.709,19.919,19.936,20.921,21.025,23.413,21.354,23.486,21.014,23.303,21.58,22.721
SPLUS-n14s08,160.16,-17.56,20.499,19.682,19.642,20.587,20.642,23.02,20.984,23.244,20.789,23.15,21.467,22.595
SPLUS-n14s09,161.58,-17.56,20.601,19.812,19.84,20.803,20.906,23.286,21.248,23.391,20.932,23.25,21.539,22.685
SPLUS-n14s10,162.99,-17.56,20.572,19.829,19.852,20.818,20.931,23.304,21.263,23.399,20.943,23.221,21.531,22.607
SPLUS-n14s11,164.41,-17.56,19.611,18.863,18.85,19.816,19.903,22.301,20.252,22.468,20.051,22.33,20.659,21.721
SPLUS-n14s12,165.83,-17.56,20.587,19.8,19.811,20.76,20.861,23.251,21.209,23.373,20.915,23.221,21.522,22.641
SPLUS-n14s13,167.25,-17.56,20.708,19.892,19.893,20.871,20.976,23.352,21.299,23.419,20.957,23.253,21.542,22.665
SPLUS-n14s14,168.66,-17.56,20.722,19.939,19.941,20.911,21.03,23.413,21.356,23.465,20.996,23.289,21.573,22.708
SPLUS-n14s15,170.08,-17.56,20.721,19.926,19.892,20.874,20.979,23.351,21.295,23.434,20.972,23.273,21.557,22.692
SPLUS-n14s16,171.5,-17.56,20.644,19.839,19.843,20.817,20.927,23.306,21.26,23.389,20.929,23.235,21.533,22.649
SPLUS-n14s17,172.91,-17.56,20.681,19.866,19.856,20.824,20.915,23.309,21.262,23.41,20.944,23.259,21.542,22.686
SPLUS-n14s18,174.33,-17.56,20.649,19.861,19.838,20.821,20.927,23.305,21.263,23.392,20.936,23.242,21.544,22.66
SPLUS-n14s19,175.75,-17.56,20.797,20.011,19.997,21.006,21.132,23.477,21.403,23.5,21.015,23.273,21.555,22.676
SPLUS-n14s20,177.17,-17.56,20.706,19.884,19.881,20.866,20.976,23.356,21.303,23.433,20.964,23.26,21.544,22.678
SPLUS-n14s21,178.58,-17.56,20.689,19.887,19.89,20.887,21.009,23.376,21.332,23.433,20.959,23.263,21.543,22.678
SPLUS-n14s22,180.0,-17.56,20.864,20.054,20.055,21.035,21.162,23.525,21.456,23.544,21.053,23.346,21.608,22.802
SPLUS-n14s31,192.75,-17.56,20.605,19.841,19.856,20.83,20.951,23.353,21.302,23.424,20.971,23.26,21.548,22.672
SPLUS-n14s32,194.18,-17.56,20.692,19.905,19.913,20.9,21.022,23.402,21.355,23.453,20.989,23.279,21.57,22.704
SPLUS-n14s33,195.59,-17.56,20.216,19.453,19.484,20.512,20.649,23.108,21.021,23.188,20.872,23.041,21.47,22.516
SPLUS-n15s01,150.0,-18.9,20.83,20.033,20.035,21.057,21.178,23.516,21.445,23.52,21.034,23.305,21.573,22.732
SPLUS-n15s02,151.43,-18.9,20.837,20.014,20.022,21.042,21.152,23.502,21.459,23.531,21.051,23.321,21.587,22.727
SPLUS-n15s03,152.86,-18.9,20.694,19.94,19.939,20.91,21.012,23.393,21.339,23.471,21.005,23.301,21.569,22.739
SPLUS-n15s04,154.29,-18.9,20.862,20.032,20.03,21.046,21.181,23.533,21.473,23.512,21.061,23.333,21.601,22.755
SPLUS-n15s05,155.71,-18.9,20.871,20.01,20.03,21.036,21.148,23.508,21.432,23.535,21.055,23.32,21.594,22.756
SPLUS-n15s06,157.14,-18.9,20.849,19.992,19.999,21.014,21.131,23.512,21.444,23.536,21.044,23.327,21.597,22.757
SPLUS-n15s07,158.57,-18.9,20.868,19.994,20.036,21.022,21.14,23.521,21.455,23.544,21.049,23.345,21.606,22.8
SPLUS-n15s08,160.0,-18.9,20.775,19.966,19.975,20.956,21.059,23.473,21.432,23.518,21.036,23.321,21.61,22.756
SPLUS-n15s09,161.43,-18.9,20.783,19.97,19.97,20.966,21.094,23.467,21.416,23.52,21.033,23.337,21.614,22.785
SPLUS-n15s10,162.86,-18.9,20.78,19.969,19.966,20.981,21.083,23.412,21.41,23.403,21.01,23.346,21.608,22.81
SPLUS-n15s11,164.29,-18.9,20.779,19.912,19.925,20.939,21.064,23.439,21.381,23.437,20.957,23.267,21.472,22.737
SPLUS-n15s12,165.71,-18.9,20.86,20.042,20.036,21.045,21.181,23.53,21.481,23.547,21.058,23.343,21.63,22.809
SPLUS-n15s13,167.14,-18.9,20.803,19.975,19.976,20.984,21.119,23.478,21.415,23.525,21.034,23.333,21.601,22.745
SPLUS-n15s14,168.57,-18.9,20.836,19.993,19.981,21.028,21.162,23.53,21.474,23.556,21.081,23.333,21.633,22.729
